Material,Substitutions,Composition,Tc (K),Pressure (GPa),Shape,Substrate,DOI
Ce (O 1-x F x) Fe As,{'x': []},,26.0,0.0,,,10.1088/0256-307x/25/10/067
Pr (O 1-x F x) Fe As,{'x': []},,26.0,0.0,,,10.1088/0256-307x/25/10/067
La (O 1-x F x) Fe As,{'x': []},,26.0,0.0,,,10.1088/0256-307x/25/10/067
Ce (O 1-x F x) Fe As,{'x': []},,26.0,0.0,,,10.1088/0256-307x/25/10/067
Pr O 0.89 F 0.11 Fe As,{},"{'Pr': 1, 'O': 0.89, 'F': 0.11, 'Fe': 1, 'As': 1}",48.0,0.0,,,10.1088/0256-307x/25/10/067
Re O 3,{},"{'Re': 1, 'O': 3}",120.0,0.0,,,10.1103/physrevb.70.184523
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1103/physrevb.70.184523
Sr 2 Ru O 4,{},"{'Sr': 2, 'Ru': 1, 'O': 4}",0.9,0.0,,,10.1063/1.4972249
La H 10,{},"{'La': 1, 'H': 10}",250.0,237.0,,,
La H 10,{},"{'La': 1, 'H': 10}",203.0,155.0,,,
Y H 6,{},"{'Y': 1, 'H': 6}",250.0,237.0,,,
Ru Sr 2 Gd Cu 2 O 8,{},"{'Ru': 1, 'Sr': 2, 'Gd': 1, 'Cu': 2, 'O': 8}",45.0,0.0,,,10.1103/physrevb.63.184505
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.1103/physrevb.75.020505
Mg B 2,{},"{'Mg': 1, 'B': 2}",25.0,10.0,,,10.1088/0953-2048/14/9/326
La 2-x Ba x Cu O 4,{'x': []},,30.0,0.0,,,
Ca K Fe 4 As 4,{},"{'Ca': 1, 'K': 1, 'Fe': 4, 'As': 4}",35.0,0.0,single crystals,,10.1103/physrevb.98.140501
Ca K Fe 4 As 4,{},"{'Ca': 1, 'K': 1, 'Fe': 4, 'As': 4}",35.0,0.0,,,10.1103/physrevb.98.140501
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1103/physrevb.98.140501
Ca K Fe 4 As 4,{},"{'Ca': 1, 'K': 1, 'Fe': 4, 'As': 4}",35.0,0.0,single-crystal,,10.1103/physrevb.98.140501
Y Ba 2 Cu 3 O 7,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 7}",90.0,0.0,,,10.1142/s0217979211057013
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1109/tasc.2007.899387
La 1-x Sr x Fe As O,{'x': []},,25.0,0.0,,,10.1103/physrevb.78.054514
Sm Fe As O 0.85 F 0.15,{},"{'Sm': 1, 'Fe': 1, 'As': 1, 'O': 0.85, 'F': 0.15}",46.0,0.0,,,10.1103/physrevb.78.054514
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1103/physrevb.78.054514
Sm Fe As O 0.85 F 0.15,{},"{'Sm': 1, 'Fe': 1, 'As': 1, 'O': 0.85, 'F': 0.15}",46.0,0.0,polycrystalline,,10.1103/physrevb.78.054514
La Fe As O 2,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 2}",26.0,0.0,,,10.1016/j.ssc.2016.12.008
Sr Fe 2 As 2,{},"{'Sr': 1, 'Fe': 2, 'As': 2}",21.0,0.0,,,10.1016/j.ssc.2016.12.008
Ru Sr 2 Gd Cu 2 O 8,{},"{'Ru': 1, 'Sr': 2, 'Gd': 1, 'Cu': 2, 'O': 8}",12.0,0.0,,,10.1103/physrevb.64.064508
Ru Sr 2 Eu Cu 2 O 8,{},"{'Ru': 1, 'Sr': 2, 'Eu': 1, 'Cu': 2, 'O': 8}",32.0,0.0,,,10.1103/physrevb.64.064508
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1088/0953-8984/17/21/021
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1088/0953-8984/17/21/021
Mg B 2,{},"{'Mg': 1, 'B': 2}",22.0,0.0,,,10.1088/0953-8984/17/21/021
Hg Ba 2 Ca 2 Cu 3 O 8+δ,{'δ': []},,164.0,30.0,,,10.2172/1176942
Se,{},{'Se': 1},7.5,160.0,,,10.2172/1176942
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",88.5,0.0,single crystal,,10.1209/epl/i2000-00123-2
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",51.0,0.0,single crystal,,10.1209/epl/i2000-00123-2
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",21.0,0.0,single crystals,,10.1209/epl/i2000-00123-2
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",51.0,0.0,,,10.1209/epl/i2000-00123-2
Ba Fe 2 As 2,{},"{'Ba': 1, 'Fe': 2, 'As': 2}",30.0,60.0,,,10.1088/0953-2048/23/5/054004
Sr Fe 2 As 2,{},"{'Sr': 1, 'Fe': 2, 'As': 2}",10.0,5.0,,,10.1088/0953-2048/23/5/054004
Ca Fe 2 As 2,{},"{'Ca': 1, 'Fe': 2, 'As': 2}",30.0,60.0,,,10.1088/0953-2048/23/5/054004
La Fe As O 0.92 F 0.08,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 0.92, 'F': 0.08}",23.0,0.0,,,10.1088/0953-2048/23/5/054004
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1088/0953-2048/23/5/054004
Ba Fe 2 As 2,{},"{'Ba': 1, 'Fe': 2, 'As': 2}",38.0,0.0,,,10.1088/1367-2630/15/8/083023
Ba Fe 1.85 Co 0.15 As 2,{},"{'Ba': 1, 'Fe': 1.85, 'Co': 0.15, 'As': 2}",23.0,10.0,,,10.1088/1367-2630/15/8/083023
Ba Fe 1.85 Co 0.15 As 2,{},"{'Ba': 1, 'Fe': 1.85, 'Co': 0.15, 'As': 2}",24.0,0.0,,,10.1088/1367-2630/15/8/083023
Ba 0.6 K 0.4 Fe 2 As 2,{},"{'Ba': 0.6, 'K': 0.4, 'Fe': 2, 'As': 2}",37.0,0.0,single crystal,,10.1103/physrevlett.101.107004
Ba 0.6 K 0.4 Fe 2 As 2,{},"{'Ba': 0.6, 'K': 0.4, 'Fe': 2, 'As': 2}",37.0,0.0,single crystal,,10.1103/physrevlett.101.107004
Ba 0.6 K 0.4 Fe 2 As 2,{},"{'Ba': 0.6, 'K': 0.4, 'Fe': 2, 'As': 2}",37.0,0.0,sin- gle crystal,,10.1103/physrevlett.101.107004
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.2221/jcsj.52.397
Lu 2 Fe 3 Si 5 (K) Y 2 Fe 3 Si 5,{},"{'Lu': 2, 'Fe': 6, 'Si': 10, 'K': 1, 'Y': 2}",2.6,0.0,,,10.1103/physrevb.80.100502
(Lu 0.95 Dy 0.05) 2 Fe 3 Si 5,{},"{'Lu': 1.9, 'Dy': 0.1, 'Fe': 3, 'Si': 5}",3.8,0.0,,,10.1103/physrevb.80.100502
(Lu 0.95 Y 0.05) 2 Fe 3 Si 5,{},"{'Lu': 1.9, 'Y': 0.1, 'Fe': 3, 'Si': 5}",4.2,0.0,,,10.1103/physrevb.80.100502
Lu 2 Fe 3 Si 5 Sc 2 Fe 3 Si 5,{},"{'Lu': 2, 'Fe': 6, 'Si': 10, 'Sc': 2}",4.6,0.0,,,10.1103/physrevb.80.100502
(Lu 1-x Y x) 2 Fe 3 Si 5,{'x': [0.07]},"{'Lu': 1.8599999999999999, 'Y': 0.14, 'Fe': 3, 'Si': 5}",0.25,0.0,,,10.1103/physrevb.80.100502
(Lu 1-x Sc x) 2 Fe 3 Si 5,{'x': []},,0.1,0.0,,,10.1103/physrevb.80.100502
Mg C Ni 3,{},"{'Mg': 1, 'C': 1, 'Ni': 3}",7.0,0.0,,,10.1103/physrevb.76.060501
Bi (Pb),{},"{'Bi': 1, 'Pb': 1}",77.0,0.0,,,10.1103/physrevb.71.214513
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.1038/35069029
Mg B 2,{},"{'Mg': 1, 'B': 2}",37.0,0.0,,,10.1038/35069029
La Fe As O 1-x H x,{'x': []},,52.0,0.0,,,10.1016/j.physc.2015.02.020
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1016/j.physc.2015.02.020
La Fe P O,{},"{'La': 1, 'Fe': 1, 'P': 1, 'O': 1}",4.0,0.0,,,10.1016/j.physc.2015.02.020
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1016/j.physc.2015.02.020
La Fe As O,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 1}",140.0,0.0,,,10.1016/j.physc.2015.02.020
La Ni As O,{},"{'La': 1, 'Ni': 1, 'As': 1, 'O': 1}",2.4,0.0,,,10.1016/j.physc.2015.02.020
La Fe P O,{},"{'La': 1, 'Fe': 1, 'P': 1, 'O': 1}",4.0,0.0,,,10.1016/j.physc.2015.02.020
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1016/j.physc.2015.02.020
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",83.0,0.0,crystals,,10.1103/physrevb.64.134504
Nb N,{},"{'Nb': 1, 'N': 1}",9.5,0.0,film,,10.1063/1.4711217
Al,{},{'Al': 1},1.7,0.0,films,,10.1103/physrevb.72.214523
La O 0.5 F 0.5 Bi S 2,{},"{'La': 1, 'O': 0.5, 'F': 0.5, 'Bi': 1, 'S': 2}",2.0,0.0,,,10.1103/physrevb.90.094507
La O 0.5 F 0.5 Bi S 2,{},"{'La': 1, 'O': 0.5, 'F': 0.5, 'Bi': 1, 'S': 2}",3.5,0.0,,,10.1103/physrevb.90.094507
La O 0.5 F 0.5 Bi S 2,{},"{'La': 1, 'O': 0.5, 'F': 0.5, 'Bi': 1, 'S': 2}",10.6,0.0,,,10.1103/physrevb.90.094507
Fe Se,{},"{'Fe': 1, 'Se': 1}",9.0,0.0,,,
Fe Se,{},"{'Fe': 1, 'Se': 1}",46.0,0.0,,,
H,{},{'H': 1},6.0,0.0,,,
Pd Te 2,{},"{'Pd': 1, 'Te': 2}",1.7,0.0,,,
Pd Te 2,{},"{'Pd': 1, 'Te': 2}",1.76,0.0,,,
Sr 2 Ru O 4,{},"{'Sr': 2, 'Ru': 1, 'O': 4}",1.0,0.0,,,10.1002/andp.201900298
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1016/j.physc.2010.04.010
Mg C Ni 3,{},"{'Mg': 1, 'C': 1, 'Ni': 3}",8.0,0.0,,,10.1016/j.physc.2010.04.010
Lu Ni 2 B 2 C,{},"{'Lu': 1, 'Ni': 2, 'B': 2, 'C': 1}",16.0,0.0,,,10.1016/j.physc.2010.04.010
Zr B 2,{},"{'Zr': 1, 'B': 2}",5.5,0.0,,,10.1016/j.physc.2010.04.010
La Fe As O 1-x F x,{'x': []},,55.0,0.0,,,10.1103/physrevb.83.092507
La Pt In,{},"{'La': 1, 'Pt': 1, 'In': 1}",0.4,0.0,,,
La Pd In,{},"{'La': 1, 'Pd': 1, 'In': 1}",1.6,0.0,,,
Sc Ir P,{},"{'Sc': 1, 'Ir': 1, 'P': 1}",10.0,0.0,,,
Y 0.7 Pr 0.3 Ba 2 Cu 3 O,{},"{'Y': 0.7, 'Pr': 0.3, 'Ba': 2, 'Cu': 3, 'O': 1}",53.7,0.0,,,10.1088/0953-8984/15/50/l03
Pr 2 Ba 4 Cu 7 O 15-δ,{'δ': []},,16.0,0.0,,,10.1016/j.physc.2004.07.002
Pr,{},{'Pr': 1},2.0,0.0,single crystals,,10.1016/j.physc.2004.07.002
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",70.0,0.0,,,10.1016/j.physc.2004.07.002
Pr 2 Ba 4 Cu 7 O 7,{},"{'Pr': 2, 'Ba': 4, 'Cu': 7, 'O': 7}",89.0,0.0,,,10.1016/j.physc.2004.07.002
Pr Ba 2 Cu 3 O 7,{},"{'Pr': 1, 'Ba': 2, 'Cu': 3, 'O': 7}",85.0,0.0,single crystal,,10.1016/j.physc.2004.07.002
Y 2 Ba 4 Cu 7 O 7,{},"{'Y': 2, 'Ba': 4, 'Cu': 7, 'O': 7}",92.0,0.0,,,10.1016/j.physc.2004.07.002
Ce Cu 2 (Si 1-x Ge x) 2,{'x': []},,0.6,0.0,,,10.1038/s41535-018-0111-6
Ce Cu 2 Si 2,{},"{'Ce': 1, 'Cu': 2, 'Si': 2}",2.44,0.0,,,10.1038/s41535-018-0111-6
Ce Pd 2 Si 2,{},"{'Ce': 1, 'Pd': 2, 'Si': 2}",0.325,0.0,,,10.1038/s41535-018-0111-6
Ce Cu 2 Ge 2,{},"{'Ce': 1, 'Cu': 2, 'Ge': 2}",1.47,0.0,,,10.1038/s41535-018-0111-6
Ce Cu 2 Si 2,{},"{'Ce': 1, 'Cu': 2, 'Si': 2}",0.3,0.0,polycrystalline,,10.1038/s41535-018-0111-6
Sr 2 Ru O 4,{},"{'Sr': 2, 'Ru': 1, 'O': 4}",1.5,0.0,,,10.1103/physrevb.65.174502
Na 0.5 (C 2 N 2 H 8) Fe 2 Se 2,{},"{'Na': 0.5, 'C': 2, 'N': 2, 'H': 8, 'Fe': 2, 'Se': 2}",45.0,0.0,,,10.1088/0953-2048/23/5/054005
Sr 2 Ru O 4,{},"{'Sr': 2, 'Ru': 1, 'O': 4}",1.5,0.0,,,
K 0.8 Fe 2 Se 2,{},"{'K': 0.8, 'Fe': 2, 'Se': 2}",30.0,0.0,,,
K 0.6 Fe 2 Se 2 (N H 3) 0.37,{},"{'K': 0.6, 'Fe': 2, 'Se': 2, 'N': 0.37, 'H': 1.1099999999999999}",44.0,0.0,,,
K 0.3 Fe 2 Se 2 (N H 3) 0.47,{},"{'K': 0.3, 'Fe': 2, 'Se': 2, 'N': 0.47, 'H': 1.41}",44.0,0.0,,,
K 0.6 Fe 2 Se 2 (N H 3) 0.37,{},"{'K': 0.6, 'Fe': 2, 'Se': 2, 'N': 0.37, 'H': 1.1099999999999999}",30.0,0.0,,,
La O 1-x F x Bi S 2,{'x': []},,10.6,0.0,,,10.1103/physrevb.87.174528
Bi 4 O 4 S 3,{},"{'Bi': 4, 'O': 4, 'S': 3}",8.6,0.0,,,10.1103/physrevb.87.174528
La O 1-x F x Bi S 2,{'x': []},,10.6,0.0,,,10.1103/physrevb.87.174528
Nd O 1-x F x Bi S 2,{'x': []},,5.6,0.0,,,10.1103/physrevb.87.174528
La Fe As O,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 1}",56.0,0.0,,,10.1143/jpsj.80.123701
K Fe 2 As 2,{},"{'K': 1, 'Fe': 2, 'As': 2}",12.0,0.0,,,
K Fe 2 As 2,{},"{'K': 1, 'Fe': 2, 'As': 2}",12.0,16.0,single crystal,,
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1143/jpsj.79.095002
Sr (Fe 1-x Pt x) 2 As 2,{'x': []},,5.0,0.0,,,10.1143/jpsj.79.095002
Sr Fe 2 As 2,{},"{'Sr': 1, 'Fe': 2, 'As': 2}",9.8,0.0,,,10.1143/jpsj.79.095002
Sr (Fe 0.875 Pt 0.125) 2 As 2,{},"{'Sr': 1, 'Fe': 1.75, 'Pt': 0.25, 'As': 2}",17.0,0.0,,,10.1143/jpsj.79.095002
Ba 1-x K x Fe 2 As 2,{'x': []},,38.0,0.0,,,10.1143/jpsj.79.095002
Gd Fe As O,{},"{'Gd': 1, 'Fe': 1, 'As': 1, 'O': 1}",56.0,0.0,,,10.1143/jpsj.79.095002
La O 1-x F x Bi S 2,{'x': []},,3.0,0.0,,,10.7566/jpsj.86.113701
Ba (Fe 0.95 Co 0.05) 2 As 2,{},"{'Ba': 1, 'Fe': 1.9, 'Co': 0.1, 'As': 2}",17.2,0.0,,,10.1103/physrevb.85.214515
Ba (Fe 0.95 Co 0.05) 2 As 2,{},"{'Ba': 1, 'Fe': 1.9, 'Co': 0.1, 'As': 2}",11.6,0.0,,,10.1103/physrevb.85.214515
Ba (Fe 0.945 Co 0.055) 2 As 2,{},"{'Ba': 1, 'Fe': 1.89, 'Co': 0.11, 'As': 2}",12.5,0.0,,,10.1103/physrevb.85.214515
Ba (Fe 0.93 Co 0.07) 2 As 2,{},"{'Ba': 1, 'Fe': 1.86, 'Co': 0.14, 'As': 2}",21.7,0.0,,,10.1103/physrevb.85.214515
Ba (Fe 0.92 Co 0.08) 2 As 2,{},"{'Ba': 1, 'Fe': 1.84, 'Co': 0.16, 'As': 2}",24.5,0.0,,,10.1103/physrevb.85.214515
K 0.8 Fe 2-x Se 2,{'x': []},,30.0,0.0,,,10.1103/physrevb.84.140506
K F S 2,{},"{'K': 1, 'F': 1, 'S': 2}",32.5,0.0,,,
Eu 0.5 K 0.5 Fe 2 As 2,{},"{'Eu': 0.5, 'K': 0.5, 'Fe': 2, 'As': 2}",10.0,0.0,polycrystalline,,
K F S,{},"{'K': 1, 'F': 1, 'S': 1}",28.0,0.0,,,
La Mn P O,{},"{'La': 1, 'Mn': 1, 'P': 1, 'O': 1}",1.5,0.0,,,10.1038/srep02555
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1039/c8cp07634k
Mg B 2,{},"{'Mg': 1, 'B': 2}",53.0,0.0,,,10.1039/c8cp07634k
Mg B 2,{},"{'Mg': 1, 'B': 2}",51.0,0.0,,,10.1039/c8cp07634k
Mg B C,{},"{'Mg': 1, 'B': 1, 'C': 1}",40.0,0.0,,,10.1039/c8cp07634k
Mg B C,{},"{'Mg': 1, 'B': 1, 'C': 1}",51.0,0.0,,,10.1039/c8cp07634k
Mg B C,{},"{'Mg': 1, 'B': 1, 'C': 1}",51.0,0.0,,,10.1039/c8cp07634k
Ca B C,{},"{'Ca': 1, 'B': 1, 'C': 1}",4.0,0.0,,,10.1039/c8cp07634k
Li 4 B 5 C 3,{},"{'Li': 4, 'B': 5, 'C': 3}",16.8,0.0,,,10.1039/c8cp07634k
Mg B C,{},"{'Mg': 1, 'B': 1, 'C': 1}",72.0,0.0,,,10.1039/c8cp07634k
Bi,{},{'Bi': 1},0.5,0.0,crystalline,,10.1103/physrevresearch.2.013270
Bi,{},{'Bi': 1},6.0,0.0,,,10.1103/physrevresearch.2.013270
Ni Bi 3,{},"{'Ni': 1, 'Bi': 3}",3.8,0.0,,,10.1103/physrevresearch.2.013270
Bi,{},{'Bi': 1},4.0,0.0,,,10.1103/physrevresearch.2.013270
Bi,{},{'Bi': 1},6.0,0.0,,,10.1103/physrevresearch.2.013270
Ni Bi 3,{},"{'Ni': 1, 'Bi': 3}",4.0,0.0,,,10.1103/physrevresearch.2.013270
K x Fe 2-y Se 2,"{'x': [], 'y': []}",,32.0,0.0,,,10.1103/physrevb.84.212502
Rb x Fe 2-y Se 2,"{'x': [], 'y': []}",,32.0,0.0,,,10.1103/physrevb.84.212502
Cs x Fe 2-y Se 2,"{'x': [], 'y': []}",,32.0,0.0,,,10.1103/physrevb.84.212502
Tl x Fe 2-y Se 2,"{'x': [], 'y': []}",,32.0,0.0,,,10.1103/physrevb.84.212502
Y Ba 2 Cu 3 O 6.5,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6.5}",55.0,0.0,,,10.1016/s0921-4534(02)02808-3
Bi 2 Sr 2 Ca 2 Cu 3 O 10+x,{'x': []},,110.0,0.0,,,10.1088/0953-2048/23/5/055007
Hg Ba 2 Ca 2 Cu 3 O 10,{},"{'Hg': 1, 'Ba': 2, 'Ca': 2, 'Cu': 3, 'O': 10}",120.0,0.0,,,10.1117/12.452388
Hg 2 Ba 2 (Y 0.8 Ca 0.2) Cu 2 O 8-δ,{'δ': []},,21.0,0.0,,,10.1016/j.physc.2003.09.074
K V 3 Sb 5,{},"{'K': 1, 'V': 3, 'Sb': 5}",1.1,0.0,,,
U Ge 2,{},"{'U': 1, 'Ge': 2}",35.0,0.0,,,10.1103/physrevb.72.024531
Sr Fe 2 (As 1-x P x) 2,{'x': [0.35]},"{'Sr': 1, 'Fe': 2, 'As': 1.3, 'P': 0.7}",25.0,0.0,,,10.1103/physrevb.87.094503
U Pd 2 Al 3,{},"{'U': 1, 'Pd': 2, 'Al': 3}",14.0,0.0,,,10.7566/jpsj.86.023703
Y Ba 2 Cu 3 O 6.4,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6.4}",18.0,0.0,single crystal,,10.1103/physrevb.54.r6901
Sm Fe As O 0.85 F 0.15,{},"{'Sm': 1, 'Fe': 1, 'As': 1, 'O': 0.85, 'F': 0.15}",50.3,0.0,,,10.1021/ja100055k
Sm 0.85 Nd 0.15 Fe As O 0.85 F 0.15,{},"{'Sm': 0.85, 'Nd': 0.15, 'Fe': 1, 'As': 1, 'O': 0.85, 'F': 0.15}",50.7,0.0,,,10.1021/ja100055k
Sm Fe As O 0.8 F 0.2,{},"{'Sm': 1, 'Fe': 1, 'As': 1, 'O': 0.8, 'F': 0.2}",53.2,0.0,,,10.1021/ja100055k
Re 24 Zr 5,{},"{'Re': 24, 'Zr': 5}",5.0,0.0,,,
Re 27 Zr 5,{},"{'Re': 27, 'Zr': 5}",6.53,0.0,,,
Re 27 Zr 5,{},"{'Re': 27, 'Zr': 5}",5.0,0.0,,,
Re 6 Zr,{},"{'Re': 6, 'Zr': 1}",6.72,0.0,,,
Re 6 Zr,{},"{'Re': 6, 'Zr': 1}",6.72,0.0,,,
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1016/j.physc.2007.08.005
Cs,{},{'Cs': 1},38.0,0.0,,,10.1016/j.ssc.2010.04.019
Sr Fe 2 As 2,{},"{'Sr': 1, 'Fe': 2, 'As': 2}",31.0,0.0,,,10.1016/j.ssc.2010.04.019
Ba Fe 2 (As 0.68 P 0.32) 2,{},"{'Ba': 1, 'Fe': 2, 'As': 1.36, 'P': 0.64}",30.2,0.0,single crystal,,10.1016/j.ssc.2010.04.019
Ba Fe 2 As 2,{},"{'Ba': 1, 'Fe': 2, 'As': 2}",31.0,0.0,,,10.1016/j.ssc.2010.04.019
V 3 Si,{},"{'V': 3, 'Si': 1}",17.0,0.0,,,10.1103/physrevlett.90.117003
Ti Se 2,{},"{'Ti': 1, 'Se': 2}",1.8,4.0,,,10.1103/physrevb.88.020507
La O Fe As,{},"{'La': 1, 'O': 1, 'Fe': 1, 'As': 1}",26.0,0.0,,,10.1103/physrevmaterials.2.044801
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.1134/1.1611221
Zr B 2,{},"{'Zr': 1, 'B': 2}",5.5,0.0,,,10.1134/1.1611221
Zr B 2,{},"{'Zr': 1, 'B': 2}",5.5,0.0,,,10.1134/1.1611221
Nd 1.835 Ce 0.165 Cu O 4-y,{'y': []},,13.0,0.0,films,,10.1103/physrevlett.94.167001
Nd 1.85 Ce 0.15 Cu O 4-y,{'y': []},,20.0,0.0,films,,10.1103/physrevlett.94.167001
Tl 2 Ba 2 Ca 2 Cu 3 O y,{'y': []},,115.0,0.0,,,
K 0.76 Fe 1.72 Se 2,{},"{'K': 0.76, 'Fe': 1.72, 'Se': 2}",32.0,0.0,,,10.1038/ncomms8777
Fe Te 0.56 Se 0.44,{},"{'Fe': 1, 'Te': 0.56, 'Se': 0.44}",14.5,0.0,,,10.1038/ncomms8777
Fe Se,{},"{'Fe': 1, 'Se': 1}",65.0,0.0,film,SrTiO 3,10.1038/ncomms8777
K x Fe 2-y Se 2,"{'x': [], 'y': []}",,32.0,0.0,,,10.1038/ncomms8777
C 30 H 18,{},"{'C': 30, 'H': 18}",33.0,0.0,,,10.1515/nsm-2015-0001
S,{},{'S': 1},10.1,93.0,,,10.1103/physrevb.65.064504
Zn,{},{'Zn': 1},105.0,0.0,,,10.1103/physrevb.74.024514
Cd,{},{'Cd': 1},90.0,0.0,,,10.1103/physrevb.74.024514
Cd,{},{'Cd': 1},95.0,0.0,,,10.1103/physrevb.74.024514
Zn 83,{},{'Zn': 83},106.0,0.0,,,10.1103/physrevb.74.024514
Cd 83,{},{'Cd': 83},85.0,0.0,,,10.1103/physrevb.74.024514
Cd,{},{'Cd': 1},65.0,0.0,,,10.1103/physrevb.74.024514
Ga 56,{},{'Ga': 56},132.0,0.0,,,10.1103/physrevb.74.024514
K Fe 2 As 2,{},"{'K': 1, 'Fe': 2, 'As': 2}",3.6,0.0,,,10.1103/physrevb.91.060508
Bi 2 Sr 2 Ca 2 Cu 3 O 10+δ,{'δ': []},,108.0,0.0,single crystals,,10.1103/physrevlett.90.217002
Nb Se 2,{},"{'Nb': 1, 'Se': 2}",7.2,0.0,,,10.1063/1.3328059
Li x (C 6 H 16 N 2) y Mo Se 2,"{'x': [0.25], 'y': []}",,4.2,0.0,,,10.7566/jpsj.87.054704
Li x (C 2 H 8 N 2) y Mo Se 2,"{'x': [0.25], 'y': []}",,4.2,0.0,,,10.7566/jpsj.87.054704
Li x (C 2 H 8 N 2) y Mo Se 2,"{'x': [0.25], 'y': []}",,4.2,0.0,,,10.7566/jpsj.87.054704
Li x (C 6 H 16 N 2) y Mo Se 2,"{'x': [0.25], 'y': []}",,4.2,0.0,,,10.7566/jpsj.87.054704
Li x (C 2 H 8 N 2) y Mo Se 2,"{'x': [0.25], 'y': []}",,4.2,0.0,,,10.7566/jpsj.87.054704
Li x (C 2 H 8 N 2) y Mo Se 2,"{'x': [0.25], 'y': []}",,4.2,0.0,,,10.7566/jpsj.87.054704
Li x (C 2 H 8 N 2) y Mo Se 2,"{'x': [0.25], 'y': []}",,4.2,0.0,,,10.7566/jpsj.87.054704
Na x (N H 3) y Mo Se 2,"{'x': [], 'y': []}",,6.0,0.0,,,10.7566/jpsj.87.054704
Li x (C 2 H 8 N 2) y Mo Se 2,"{'x': [0.25], 'y': []}",,4.2,0.0,,,10.7566/jpsj.87.054704
Li x (C 2 H 8 N 2) y Ti Se 2,"{'x': [0.25], 'y': []}",,4.2,0.0,,,10.7566/jpsj.87.054704
Li x (C 2 H 8 N 2) y Mo Se 2,"{'x': [0.25], 'y': []}",,4.2,0.0,,,10.7566/jpsj.87.054704
K 0.8 Fe 2-y Se 2,{'y': []},,30.0,0.0,crystals,,10.1038/srep02047
K x Fe 2-y Se 2,"{'x': [0.8], 'y': []}",,30.0,0.0,,,10.1038/srep02047
Tb Sr 2 Cu 2.7 Mo 0.3 O 7+δ,{'δ': []},,80.0,0.0,,,10.1016/j.ssc.2003.09.037
C N s,{'s': []},,0.2,0.0,single-walled,,10.1002/pssb.200669120
Ce Rh In 5,{},"{'Ce': 1, 'Rh': 1, 'In': 5}",2.1,0.0,,,10.1103/physrevb.64.144411
Ce 3 Pt In 11,{},"{'Ce': 3, 'Pt': 1, 'In': 11}",0.32,0.0,,,10.1038/s41598-018-34991-7
Sr 2 Ru O 4,{},"{'Sr': 2, 'Ru': 1, 'O': 4}",3.5,0.0,,,
Ca Fe,{},"{'Ca': 1, 'Fe': 1}",17.0,0.0,,,10.1209/0295-5075/100/47002
Fe Se 0.4 Te 0.6,{},"{'Fe': 1, 'Se': 0.4, 'Te': 0.6}",14.0,0.0,single crystal,,10.2478/msr-2014-0022
Fe Se x Te 1-x,{'x': [0.5]},"{'Fe': 1, 'Se': 0.5, 'Te': 0.5}",18.0,0.0,thin film,CaF 2,10.2478/msr-2014-0022
